method,case_id,scan_id,agent_group,agent_number,target_number,shared_active_target_count,evaluation_status,initial_pwgs
Gemma-Instant,JF19kD82Mey_case_0031,JF19kD82Mey,multi,5,1,1,evaluable,0.3960801544556971
GPT-Medium,JF19kD82Mey_case_0032,JF19kD82Mey,multi,5,1,0,not_applicable_no_shared_active_target,
Qwen-Thinking,JF19kD82Mey_case_0032,JF19kD82Mey,multi,5,1,0,not_applicable_no_shared_active_target,
Qwen-Instant,JF19kD82Mey_case_0032,JF19kD82Mey,multi,5,1,0,not_applicable_no_shared_active_target,
Gemma-Instant,JF19kD82Mey_case_0032,JF19kD82Mey,multi,5,1,0,not_applicable_no_shared_active_target,
GPT-Medium,JF19kD82Mey_case_0033,JF19kD82Mey,multi,5,4,0,not_applicable_non_identical_active_target_context,
Qwen-Thinking,JF19kD82Mey_case_0033,JF19kD82Mey,multi,5,4,0,not_applicable_non_identical_active_target_context,
Qwen-Instant,JF19kD82Mey_case_0033,JF19kD82Mey,multi,5,4,0,not_applicable_non_identical_active_target_context,
Gemma-Instant,JF19kD82Mey_case_0033,JF19kD82Mey,multi,5,4,0,not_applicable_non_identical_active_target_context,
GPT-Medium,RPmz2sHmrrY_case_0021,RPmz2sHmrrY,multi,3,1,1,evaluable,0.8655378140547023
Qwen-Thinking,RPmz2sHmrrY_case_0021,RPmz2sHmrrY,multi,3,1,1,evaluable,0.5242293086221406
Qwen-Instant,RPmz2sHmrrY_case_0021,RPmz2sHmrrY,multi,3,1,1,evaluable,0.5891058842840384
Gemma-Instant,RPmz2sHmrrY_case_0021,RPmz2sHmrrY,multi,3,1,1,evaluable,0.918966937289001
GPT-Medium,RPmz2sHmrrY_case_0022,RPmz2sHmrrY,multi,3,1,1,evaluable,0.6797157465376749
Qwen-Thinking,RPmz2sHmrrY_case_0022,RPmz2sHmrrY,multi,3,1,1,evaluable,0.7309456387815164
Qwen-Instant,RPmz2sHmrrY_case_0022,RPmz2sHmrrY,multi,3,1,1,evaluable,0.628832288571374
Gemma-Instant,RPmz2sHmrrY_case_0022,RPmz2sHmrrY,multi,3,1,1,evaluable,0.918197784432182
GPT-Medium,RPmz2sHmrrY_case_0023,RPmz2sHmrrY,multi,3,4,3,evaluable,0.5813606966002419
Qwen-Thinking,RPmz2sHmrrY_case_0023,RPmz2sHmrrY,multi,3,4,3,evaluable,0.4101706889245236
Qwen-Instant,RPmz2sHmrrY_case_0023,RPmz2sHmrrY,multi,3,4,3,evaluable,0.4613179975774979
Gemma-Instant,RPmz2sHmrrY_case_0023,RPmz2sHmrrY,multi,3,4,3,evaluable,0.6317327364803876
GPT-Medium,RPmz2sHmrrY_case_0024,RPmz2sHmrrY,multi,3,4,3,evaluable,0.6660141139915584
Qwen-Thinking,RPmz2sHmrrY_case_0024,RPmz2sHmrrY,multi,3,4,3,evaluable,0.6460482975058046
Qwen-Instant,RPmz2sHmrrY_case_0024,RPmz2sHmrrY,multi,3,4,3,evaluable,0.5915171703324987
Gemma-Instant,RPmz2sHmrrY_case_0024,RPmz2sHmrrY,multi,3,4,3,evaluable,0.6865381895713837
GPT-Medium,RPmz2sHmrrY_case_0025,RPmz2sHmrrY,multi,3,8,0,not_applicable_non_identical_active_target_context,
Qwen-Thinking,RPmz2sHmrrY_case_0025,RPmz2sHmrrY,multi,3,8,0,not_applicable_non_identical_active_target_context,
Qwen-Instant,RPmz2sHmrrY_case_0025,RPmz2sHmrrY,multi,3,8,0,not_applicable_non_identical_active_target_context,
Gemma-Instant,RPmz2sHmrrY_case_0025,RPmz2sHmrrY,multi,3,8,0,not_applicable_non_identical_active_target_context,
GPT-Medium,RPmz2sHmrrY_case_0026,RPmz2sHmrrY,multi,3,1,1,evaluable,0.9703272471523637
Qwen-Thinking,RPmz2sHmrrY_case_0026,RPmz2sHmrrY,multi,3,1,1,evaluable,0.9684134419949942
Qwen-Instant,RPmz2sHmrrY_case_0026,RPmz2sHmrrY,multi,3,1,1,evaluable,0.9107239924538442
Gemma-Instant,RPmz2sHmrrY_case_0026,RPmz2sHmrrY,multi,3,1,1,evaluable,0.9774050360394897
GPT-Medium,RPmz2sHmrrY_case_0027,RPmz2sHmrrY,multi,3,1,0,not_applicable_no_shared_active_target,
Qwen-Thinking,RPmz2sHmrrY_case_0027,RPmz2sHmrrY,multi,3,1,0,not_applicable_no_shared_active_target,
Qwen-Instant,RPmz2sHmrrY_case_0027,RPmz2sHmrrY,multi,3,1,0,not_applicable_no_shared_active_target,
Gemma-Instant,RPmz2sHmrrY_case_0027,RPmz2sHmrrY,multi,3,1,0,not_applicable_no_shared_active_target,
GPT-Medium,RPmz2sHmrrY_case_0028,RPmz2sHmrrY,multi,3,4,0,not_applicable_non_identical_active_target_context,
Qwen-Thinking,RPmz2sHmrrY_case_0028,RPmz2sHmrrY,multi,3,4,0,not_applicable_non_identical_active_target_context,
Qwen-Instant,RPmz2sHmrrY_case_0028,RPmz2sHmrrY,multi,3,4,0,not_applicable_non_identical_active_target_context,
Gemma-Instant,RPmz2sHmrrY_case_0028,RPmz2sHmrrY,multi,3,4,0,not_applicable_non_identical_active_target_context,
GPT-Medium,RPmz2sHmrrY_case_0029,RPmz2sHmrrY,multi,3,4,4,evaluable,0.7981789145559597
Qwen-Thinking,RPmz2sHmrrY_case_0029,RPmz2sHmrrY,multi,3,4,4,evaluable,0.46240241294322615
Qwen-Instant,RPmz2sHmrrY_case_0029,RPmz2sHmrrY,multi,3,4,4,evaluable,0.4324674009754181
Gemma-Instant,RPmz2sHmrrY_case_0029,RPmz2sHmrrY,multi,3,4,4,evaluable,0.4032862797539159
GPT-Medium,RPmz2sHmrrY_case_0030,RPmz2sHmrrY,multi,3,8,0,not_applicable_non_identical_active_target_context,
Qwen-Thinking,RPmz2sHmrrY_case_0030,RPmz2sHmrrY,multi,3,8,0,not_applicable_non_identical_active_target_context,
Qwen-Instant,RPmz2sHmrrY_case_0030,RPmz2sHmrrY,multi,3,8,0,not_applicable_non_identical_active_target_context,
Gemma-Instant,RPmz2sHmrrY_case_0030,RPmz2sHmrrY,multi,3,8,0,not_applicable_non_identical_active_target_context,
GPT-Medium,RPmz2sHmrrY_case_0031,RPmz2sHmrrY,multi,5,1,0,not_applicable_no_shared_active_target,
Qwen-Thinking,RPmz2sHmrrY_case_0031,RPmz2sHmrrY,multi,5,1,0,not_applicable_no_shared_active_target,
Qwen-Instant,RPmz2sHmrrY_case_0031,RPmz2sHmrrY,multi,5,1,0,not_applicable_no_shared_active_target,
Gemma-Instant,RPmz2sHmrrY_case_0031,RPmz2sHmrrY,multi,5,1,0,not_applicable_no_shared_active_target,
GPT-Medium,RPmz2sHmrrY_case_0032,RPmz2sHmrrY,multi,5,1,0,not_applicable_no_shared_active_target,
Qwen-Thinking,RPmz2sHmrrY_case_0032,RPmz2sHmrrY,multi,5,1,0,not_applicable_no_shared_active_target,
Qwen-Instant,RPmz2sHmrrY_case_0032,RPmz2sHmrrY,multi,5,1,0,not_applicable_no_shared_active_target,
Gemma-Instant,RPmz2sHmrrY_case_0032,RPmz2sHmrrY,multi,5,1,0,not_applicable_no_shared_active_target,
GPT-Medium,RPmz2sHmrrY_case_0033,RPmz2sHmrrY,multi,5,4,1,evaluable,0.8148027357392043
Qwen-Thinking,RPmz2sHmrrY_case_0033,RPmz2sHmrrY,multi,5,4,1,evaluable,0.5770533938045083
Qwen-Instant,RPmz2sHmrrY_case_0033,RPmz2sHmrrY,multi,5,4,1,evaluable,0.26780911177421385
Gemma-Instant,RPmz2sHmrrY_case_0033,RPmz2sHmrrY,multi,5,4,1,evaluable,0.6542108451720894
GPT-Medium,RPmz2sHmrrY_case_0034,RPmz2sHmrrY,multi,5,4,2,evaluable,0.7283801819867748
Qwen-Thinking,RPmz2sHmrrY_case_0034,RPmz2sHmrrY,multi,5,4,2,evaluable,0.6164820413413098
Qwen-Instant,RPmz2sHmrrY_case_0034,RPmz2sHmrrY,multi,5,4,2,evaluable,0.6584095742063776
Gemma-Instant,RPmz2sHmrrY_case_0034,RPmz2sHmrrY,multi,5,4,2,evaluable,0.6580919263584625
GPT-Medium,RPmz2sHmrrY_case_0035,RPmz2sHmrrY,multi,5,8,0,not_applicable_non_identical_active_target_context,
Qwen-Thinking,RPmz2sHmrrY_case_0035,RPmz2sHmrrY,multi,5,8,0,not_applicable_non_identical_active_target_context,
Qwen-Instant,RPmz2sHmrrY_case_0035,RPmz2sHmrrY,multi,5,8,0,not_applicable_non_identical_active_target_context,
Gemma-Instant,RPmz2sHmrrY_case_0035,RPmz2sHmrrY,multi,5,8,0,not_applicable_non_identical_active_target_context,
GPT-Medium,RPmz2sHmrrY_case_0036,RPmz2sHmrrY,multi,5,1,1,evaluable,0.6017909942234931
Qwen-Thinking,RPmz2sHmrrY_case_0036,RPmz2sHmrrY,multi,5,1,1,evaluable,0.5790190809855633
Qwen-Instant,RPmz2sHmrrY_case_0036,RPmz2sHmrrY,multi,5,1,1,evaluable,0.5423946102875427
Gemma-Instant,RPmz2sHmrrY_case_0036,RPmz2sHmrrY,multi,5,1,1,evaluable,0.6533257892678941
GPT-Medium,RPmz2sHmrrY_case_0037,RPmz2sHmrrY,multi,5,1,0,not_applicable_no_shared_active_target,
Qwen-Thinking,RPmz2sHmrrY_case_0037,RPmz2sHmrrY,multi,5,1,0,not_applicable_no_shared_active_target,
Qwen-Instant,RPmz2sHmrrY_case_0037,RPmz2sHmrrY,multi,5,1,0,not_applicable_no_shared_active_target,
Gemma-Instant,RPmz2sHmrrY_case_0037,RPmz2sHmrrY,multi,5,1,0,not_applicable_no_shared_active_target,
GPT-Medium,RPmz2sHmrrY_case_0038,RPmz2sHmrrY,multi,5,4,3,evaluable,0.7749943519664155
Qwen-Thinking,RPmz2sHmrrY_case_0038,RPmz2sHmrrY,multi,5,4,3,evaluable,0.6688834550582426
Qwen-Instant,RPmz2sHmrrY_case_0038,RPmz2sHmrrY,multi,5,4,3,evaluable,0.6025146176863987
Gemma-Instant,RPmz2sHmrrY_case_0038,RPmz2sHmrrY,multi,5,4,3,evaluable,0.6115514827693141
GPT-Medium,RPmz2sHmrrY_case_0039,RPmz2sHmrrY,multi,5,4,3,evaluable,0.6908645414110642
Qwen-Thinking,RPmz2sHmrrY_case_0039,RPmz2sHmrrY,multi,5,4,3,evaluable,0.7592351176682176
Qwen-Instant,RPmz2sHmrrY_case_0039,RPmz2sHmrrY,multi,5,4,3,evaluable,0.6435231724553675
Gemma-Instant,RPmz2sHmrrY_case_0039,RPmz2sHmrrY,multi,5,4,3,evaluable,0.5524226957148588
GPT-Medium,RPmz2sHmrrY_case_0040,RPmz2sHmrrY,multi,5,8,0,not_applicable_non_identical_active_target_context,
Qwen-Thinking,RPmz2sHmrrY_case_0040,RPmz2sHmrrY,multi,5,8,0,not_applicable_non_identical_active_target_context,
Qwen-Instant,RPmz2sHmrrY_case_0040,RPmz2sHmrrY,multi,5,8,0,not_applicable_non_identical_active_target_context,
Gemma-Instant,RPmz2sHmrrY_case_0040,RPmz2sHmrrY,multi,5,8,0,not_applicable_non_identical_active_target_context,
GPT-Medium,17DRP5sb8fy_case_0001,17DRP5sb8fy,single,1,1,1,evaluable,0.3880706664503597
Qwen-Thinking,17DRP5sb8fy_case_0001,17DRP5sb8fy,single,1,1,1,evaluable,0.37186214447568866
Qwen-Instant,17DRP5sb8fy_case_0001,17DRP5sb8fy,single,1,1,1,evaluable,0.32728870904534313
Gemma-Instant,17DRP5sb8fy_case_0001,17DRP5sb8fy,single,1,1,1,evaluable,0.0
GPT-Medium,17DRP5sb8fy_case_0002,17DRP5sb8fy,single,1,1,1,evaluable,0.4449074824370862
Qwen-Thinking,17DRP5sb8fy_case_0002,17DRP5sb8fy,single,1,1,1,evaluable,0.46584290930855965
Qwen-Instant,17DRP5sb8fy_case_0002,17DRP5sb8fy,single,1,1,1,evaluable,0.43902106835337407
Gemma-Instant,17DRP5sb8fy_case_0002,17DRP5sb8fy,single,1,1,1,evaluable,0.46584290930855965
GPT-Medium,17DRP5sb8fy_case_0003,17DRP5sb8fy,single,1,4,4,evaluable,0.6758212772317741
Qwen-Thinking,17DRP5sb8fy_case_0003,17DRP5sb8fy,single,1,4,4,evaluable,0.6204659842832371
Qwen-Instant,17DRP5sb8fy_case_0003,17DRP5sb8fy,single,1,4,4,evaluable,0.6227232108507952
Gemma-Instant,17DRP5sb8fy_case_0003,17DRP5sb8fy,single,1,4,4,evaluable,0.6198199033663181
GPT-Medium,17DRP5sb8fy_case_0004,17DRP5sb8fy,single,1,4,3,evaluable,0.17980075894292205
Qwen-Thinking,17DRP5sb8fy_case_0004,17DRP5sb8fy,single,1,4,3,evaluable,0.191871079457867
Qwen-Instant,17DRP5sb8fy_case_0004,17DRP5sb8fy,single,1,4,3,evaluable,0.1871674763934129
Gemma-Instant,17DRP5sb8fy_case_0004,17DRP5sb8fy,single,1,4,3,evaluable,0.18356491165819008
GPT-Medium,17DRP5sb8fy_case_0005,17DRP5sb8fy,single,1,8,0,not_applicable_non_identical_active_target_context,
Qwen-Thinking,17DRP5sb8fy_case_0005,17DRP5sb8fy,single,1,8,0,not_applicable_non_identical_active_target_context,
Qwen-Instant,17DRP5sb8fy_case_0005,17DRP5sb8fy,single,1,8,0,not_applicable_non_identical_active_target_context,
Gemma-Instant,17DRP5sb8fy_case_0005,17DRP5sb8fy,single,1,8,0,not_applicable_non_identical_active_target_context,
GPT-Medium,17DRP5sb8fy_case_0006,17DRP5sb8fy,single,1,1,1,evaluable,0.5868860298019241
Qwen-Thinking,17DRP5sb8fy_case_0006,17DRP5sb8fy,single,1,1,1,evaluable,0.5584907908949681
Qwen-Instant,17DRP5sb8fy_case_0006,17DRP5sb8fy,single,1,1,1,evaluable,0.5465518836272707
Gemma-Instant,17DRP5sb8fy_case_0006,17DRP5sb8fy,single,1,1,1,evaluable,0.5863482411862619
GPT-Medium,17DRP5sb8fy_case_0007,17DRP5sb8fy,single,1,1,0,not_applicable_non_identical_active_target_context,
Qwen-Thinking,17DRP5sb8fy_case_0007,17DRP5sb8fy,single,1,1,0,not_applicable_non_identical_active_target_context,
Qwen-Instant,17DRP5sb8fy_case_0007,17DRP5sb8fy,single,1,1,0,not_applicable_non_identical_active_target_context,
Gemma-Instant,17DRP5sb8fy_case_0007,17DRP5sb8fy,single,1,1,0,not_applicable_non_identical_active_target_context,
GPT-Medium,17DRP5sb8fy_case_0033,17DRP5sb8fy,multi,5,4,0,not_applicable_non_identical_active_target_context,
Qwen-Thinking,17DRP5sb8fy_case_0033,17DRP5sb8fy,multi,5,4,0,not_applicable_non_identical_active_target_context,
Qwen-Instant,17DRP5sb8fy_case_0033,17DRP5sb8fy,multi,5,4,0,not_applicable_non_identical_active_target_context,
Gemma-Instant,17DRP5sb8fy_case_0033,17DRP5sb8fy,multi,5,4,0,not_applicable_non_identical_active_target_context,
GPT-Medium,17DRP5sb8fy_case_0034,17DRP5sb8fy,multi,5,4,2,evaluable,0.8772213875709087
Qwen-Thinking,17DRP5sb8fy_case_0034,17DRP5sb8fy,multi,5,4,2,evaluable,0.8567640110188006
Qwen-Instant,17DRP5sb8fy_case_0034,17DRP5sb8fy,multi,5,4,2,evaluable,0.7429885937661859
Gemma-Instant,17DRP5sb8fy_case_0034,17DRP5sb8fy,multi,5,4,2,evaluable,0.7835920550417581
GPT-Medium,17DRP5sb8fy_case_0035,17DRP5sb8fy,multi,5,8,0,not_applicable_non_identical_active_target_context,
Qwen-Thinking,17DRP5sb8fy_case_0035,17DRP5sb8fy,multi,5,8,0,not_applicable_non_identical_active_target_context,
Qwen-Instant,17DRP5sb8fy_case_0035,17DRP5sb8fy,multi,5,8,0,not_applicable_non_identical_active_target_context,
Gemma-Instant,17DRP5sb8fy_case_0035,17DRP5sb8fy,multi,5,8,0,not_applicable_non_identical_active_target_context,
GPT-Medium,17DRP5sb8fy_case_0036,17DRP5sb8fy,multi,5,1,0,not_applicable_non_identical_active_target_context,
Qwen-Thinking,17DRP5sb8fy_case_0036,17DRP5sb8fy,multi,5,1,0,not_applicable_non_identical_active_target_context,
Qwen-Instant,17DRP5sb8fy_case_0036,17DRP5sb8fy,multi,5,1,0,not_applicable_non_identical_active_target_context,
Gemma-Instant,17DRP5sb8fy_case_0036,17DRP5sb8fy,multi,5,1,0,not_applicable_non_identical_active_target_context,
GPT-Medium,17DRP5sb8fy_case_0037,17DRP5sb8fy,multi,5,1,0,not_applicable_no_shared_active_target,
Qwen-Thinking,17DRP5sb8fy_case_0037,17DRP5sb8fy,multi,5,1,0,not_applicable_no_shared_active_target,
Qwen-Instant,17DRP5sb8fy_case_0037,17DRP5sb8fy,multi,5,1,0,not_applicable_no_shared_active_target,
Gemma-Instant,17DRP5sb8fy_case_0037,17DRP5sb8fy,multi,5,1,0,not_applicable_no_shared_active_target,
GPT-Medium,17DRP5sb8fy_case_0038,17DRP5sb8fy,multi,5,4,2,evaluable,0.44262595018095324
Qwen-Thinking,17DRP5sb8fy_case_0038,17DRP5sb8fy,multi,5,4,2,evaluable,0.42714072595970504
Qwen-Instant,17DRP5sb8fy_case_0038,17DRP5sb8fy,multi,5,4,2,evaluable,0.46117791888676557
Gemma-Instant,17DRP5sb8fy_case_0038,17DRP5sb8fy,multi,5,4,2,evaluable,0.4352799339266736
GPT-Medium,17DRP5sb8fy_case_0039,17DRP5sb8fy,multi,5,4,2,evaluable,0.4255405453979379
Qwen-Thinking,17DRP5sb8fy_case_0039,17DRP5sb8fy,multi,5,4,2,evaluable,0.4928353347965939
Qwen-Instant,17DRP5sb8fy_case_0039,17DRP5sb8fy,multi,5,4,2,evaluable,0.4566564788280728
Gemma-Instant,17DRP5sb8fy_case_0039,17DRP5sb8fy,multi,5,4,2,evaluable,0.4335545415232289
GPT-Medium,17DRP5sb8fy_case_0040,17DRP5sb8fy,multi,5,8,0,not_applicable_non_identical_active_target_context,
Qwen-Thinking,17DRP5sb8fy_case_0040,17DRP5sb8fy,multi,5,8,0,not_applicable_non_identical_active_target_context,
Qwen-Instant,17DRP5sb8fy_case_0040,17DRP5sb8fy,multi,5,8,0,not_applicable_non_identical_active_target_context,
Gemma-Instant,17DRP5sb8fy_case_0040,17DRP5sb8fy,multi,5,8,0,not_applicable_non_identical_active_target_context,
GPT-Medium,17DRP5sb8fy_case_0041,17DRP5sb8fy,multi,5,1,1,evaluable,0.7109226561312267
Qwen-Thinking,17DRP5sb8fy_case_0041,17DRP5sb8fy,multi,5,1,1,evaluable,0.6819816343406049
Qwen-Instant,17DRP5sb8fy_case_0041,17DRP5sb8fy,multi,5,1,1,evaluable,0.6164980030045673
Gemma-Instant,17DRP5sb8fy_case_0041,17DRP5sb8fy,multi,5,1,1,evaluable,0.7127561852945699
GPT-Medium,17DRP5sb8fy_case_0042,17DRP5sb8fy,multi,5,1,0,not_applicable_non_identical_active_target_context,
Qwen-Thinking,17DRP5sb8fy_case_0042,17DRP5sb8fy,multi,5,1,0,not_applicable_non_identical_active_target_context,
Qwen-Instant,17DRP5sb8fy_case_0042,17DRP5sb8fy,multi,5,1,0,not_applicable_non_identical_active_target_context,
Gemma-Instant,17DRP5sb8fy_case_0042,17DRP5sb8fy,multi,5,1,0,not_applicable_non_identical_active_target_context,
GPT-Medium,17DRP5sb8fy_case_0043,17DRP5sb8fy,multi,5,4,2,evaluable,0.7500374846668303
Qwen-Thinking,17DRP5sb8fy_case_0043,17DRP5sb8fy,multi,5,4,2,evaluable,0.6272641474880243
Qwen-Instant,17DRP5sb8fy_case_0043,17DRP5sb8fy,multi,5,4,2,evaluable,0.6443102913121055
Gemma-Instant,17DRP5sb8fy_case_0043,17DRP5sb8fy,multi,5,4,2,evaluable,0.6594402713308576
GPT-Medium,17DRP5sb8fy_case_0044,17DRP5sb8fy,multi,5,4,2,evaluable,0.4302479732361985
Qwen-Thinking,17DRP5sb8fy_case_0044,17DRP5sb8fy,multi,5,4,2,evaluable,0.3823731618869734
Qwen-Instant,17DRP5sb8fy_case_0044,17DRP5sb8fy,multi,5,4,2,evaluable,0.40445766711361514
Gemma-Instant,17DRP5sb8fy_case_0044,17DRP5sb8fy,multi,5,4,2,evaluable,0.3442564121141538
GPT-Medium,17DRP5sb8fy_case_0045,17DRP5sb8fy,multi,5,8,4,evaluable,0.5803664781782634
Qwen-Thinking,17DRP5sb8fy_case_0045,17DRP5sb8fy,multi,5,8,4,evaluable,0.5120037421086837
Qwen-Instant,17DRP5sb8fy_case_0045,17DRP5sb8fy,multi,5,8,4,evaluable,0.51763349260275
Gemma-Instant,17DRP5sb8fy_case_0045,17DRP5sb8fy,multi,5,8,4,evaluable,0.5013911409996096
