method,case_id,scan_id,agent_group,agent_number,target_number,evaluation_status,pwgs_pair_count,geodesic_ndcg_at_5_pair_count,empty_support_count,valid_hypothesis_snapshot_count,invalid_hypothesis_snapshot_count,episode_pwgs,episode_geodesic_ndcg_at_5,in_common_support,edge_jnll_status,ungrounded_edge_candidate_count
Qwen-Thinking,JF19kD82Mey_case_0004,JF19kD82Mey,single,1,4,evaluable,84,84,0,29,0,0.6134031788612601,0.9677896178663036,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0006,JF19kD82Mey,single,1,1,evaluable,1,1,0,2,0,0.9744870645011763,0.9989500275633593,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0007,JF19kD82Mey,single,1,1,evaluable,27,27,0,28,0,0.887033330875524,0.9287347233049517,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0016,JF19kD82Mey,multi,3,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0018,JF19kD82Mey,multi,3,4,evaluable,11,11,0,10,0,0.5841398682645255,0.8261441578162912,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0020,JF19kD82Mey,multi,3,8,evaluable,23,23,0,10,0,0.5934846611914234,0.8003441241371456,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0021,JF19kD82Mey,multi,3,1,evaluable,12,12,0,13,0,0.7977364692201901,0.8766229906825697,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0022,JF19kD82Mey,multi,3,1,evaluable,1,1,0,2,0,0.4738086138662736,0.8055183723247489,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0023,JF19kD82Mey,multi,3,4,evaluable,4,4,0,4,0,0.48960426776683647,0.7824954299908695,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0024,JF19kD82Mey,multi,3,4,evaluable,14,14,0,7,0,0.7713037759678493,0.9032897183460324,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0025,JF19kD82Mey,multi,3,8,evaluable,51,51,0,25,0,0.728815996979023,0.8819691366475472,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0026,JF19kD82Mey,multi,3,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0027,JF19kD82Mey,multi,3,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0028,JF19kD82Mey,multi,3,4,evaluable,19,19,0,12,0,0.6813135112078061,0.9085469377896207,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0029,JF19kD82Mey,multi,3,4,evaluable,7,7,0,5,0,0.7635004523368567,0.8396297806046665,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0030,JF19kD82Mey,multi,3,8,evaluable,23,23,0,12,0,0.5573104713469044,0.7513004832460531,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0031,JF19kD82Mey,multi,5,1,evaluable,3,3,0,4,0,0.555042125791131,0.658162739435768,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0032,JF19kD82Mey,multi,5,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0033,JF19kD82Mey,multi,5,4,evaluable,3,3,0,3,0,0.6821250029811367,0.7553856070298958,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,RPmz2sHmrrY_case_0021,RPmz2sHmrrY,multi,3,1,evaluable,1,1,0,2,0,0.5242293086221406,0.663784524494703,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,RPmz2sHmrrY_case_0022,RPmz2sHmrrY,multi,3,1,evaluable,2,2,0,3,0,0.7673751616844788,0.8002074991166572,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,RPmz2sHmrrY_case_0023,RPmz2sHmrrY,multi,3,4,evaluable,13,13,0,8,0,0.5616437268197262,0.7547434011171554,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,RPmz2sHmrrY_case_0024,RPmz2sHmrrY,multi,3,4,evaluable,11,11,0,5,0,0.6040587976256481,0.6847787996632007,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,RPmz2sHmrrY_case_0025,RPmz2sHmrrY,multi,3,8,evaluable,31,31,0,13,0,0.6387406193236862,0.7704227165750366,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,RPmz2sHmrrY_case_0026,RPmz2sHmrrY,multi,3,1,evaluable,4,4,0,5,0,0.8845135405912885,0.7702291133582843,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,RPmz2sHmrrY_case_0027,RPmz2sHmrrY,multi,3,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,RPmz2sHmrrY_case_0028,RPmz2sHmrrY,multi,3,4,evaluable,17,17,0,14,0,0.6289319243633398,0.8264121043691889,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,RPmz2sHmrrY_case_0029,RPmz2sHmrrY,multi,3,4,evaluable,36,36,0,29,0,0.6650650918014869,0.8245745998985932,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,RPmz2sHmrrY_case_0030,RPmz2sHmrrY,multi,3,8,evaluable,12,12,0,6,0,0.6263018787897502,0.8676873946761053,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,RPmz2sHmrrY_case_0031,RPmz2sHmrrY,multi,5,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,RPmz2sHmrrY_case_0032,RPmz2sHmrrY,multi,5,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,RPmz2sHmrrY_case_0033,RPmz2sHmrrY,multi,5,4,evaluable,1,1,0,2,0,0.5770533938045083,0.8432056477032847,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,RPmz2sHmrrY_case_0034,RPmz2sHmrrY,multi,5,4,evaluable,4,4,0,3,0,0.6411626486872549,0.9030942173579284,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,RPmz2sHmrrY_case_0035,RPmz2sHmrrY,multi,5,8,evaluable,6,6,0,4,0,0.655508513742717,0.8407497886603345,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,RPmz2sHmrrY_case_0036,RPmz2sHmrrY,multi,5,1,evaluable,13,13,0,14,0,0.6514958224425185,0.8362423872551941,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,RPmz2sHmrrY_case_0037,RPmz2sHmrrY,multi,5,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,RPmz2sHmrrY_case_0038,RPmz2sHmrrY,multi,5,4,evaluable,9,9,0,6,0,0.6655948195402897,0.8305240864388785,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,RPmz2sHmrrY_case_0039,RPmz2sHmrrY,multi,5,4,evaluable,9,9,0,5,0,0.6590007555399127,0.7290979276897542,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,RPmz2sHmrrY_case_0040,RPmz2sHmrrY,multi,5,8,evaluable,20,20,0,6,0,0.7281692527560704,0.8367349719118755,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,17DRP5sb8fy_case_0001,17DRP5sb8fy,single,1,1,evaluable,7,7,0,8,0,0.3135242100846071,0.748378627687196,0,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,17DRP5sb8fy_case_0002,17DRP5sb8fy,single,1,1,evaluable,29,29,0,29,0,0.2947155001806289,0.716539514578147,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,17DRP5sb8fy_case_0003,17DRP5sb8fy,single,1,4,evaluable,43,43,0,29,0,0.47903995210258965,0.7679443536877743,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,17DRP5sb8fy_case_0004,17DRP5sb8fy,single,1,4,evaluable,52,52,0,29,0,0.33988310159313734,0.8706266033864929,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,17DRP5sb8fy_case_0005,17DRP5sb8fy,single,1,8,evaluable,83,83,0,29,0,0.3785113293537328,0.7982465994556167,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,17DRP5sb8fy_case_0006,17DRP5sb8fy,single,1,1,evaluable,29,29,0,29,0,0.40342392369544433,0.7839968875808003,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,17DRP5sb8fy_case_0007,17DRP5sb8fy,single,1,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,17DRP5sb8fy_case_0033,17DRP5sb8fy,multi,5,4,evaluable,16,16,1,16,0,0.7494881103448799,0.8855436914329449,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,17DRP5sb8fy_case_0034,17DRP5sb8fy,multi,5,4,evaluable,14,14,1,14,0,0.806254883070712,0.9037868657088903,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,17DRP5sb8fy_case_0035,17DRP5sb8fy,multi,5,8,evaluable,28,28,1,22,0,0.8654867235684519,0.8987907323054432,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,17DRP5sb8fy_case_0036,17DRP5sb8fy,multi,5,1,evaluable,1,1,0,2,0,0.6083207314533373,0.8145827911972119,0,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,17DRP5sb8fy_case_0037,17DRP5sb8fy,multi,5,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,17DRP5sb8fy_case_0038,17DRP5sb8fy,multi,5,4,evaluable,7,7,0,5,0,0.503567151530062,0.6523205487280431,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,17DRP5sb8fy_case_0039,17DRP5sb8fy,multi,5,4,evaluable,8,8,0,6,0,0.6511213791229564,0.6944017240394406,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,17DRP5sb8fy_case_0040,17DRP5sb8fy,multi,5,8,evaluable,24,24,1,12,0,0.6096026413351574,0.7872777474334286,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,17DRP5sb8fy_case_0041,17DRP5sb8fy,multi,5,1,evaluable,1,1,0,2,0,0.6819816343406049,0.7725924693076174,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,17DRP5sb8fy_case_0042,17DRP5sb8fy,multi,5,1,evaluable,3,3,0,4,0,0.7581947196296337,0.8648842384850087,0,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,17DRP5sb8fy_case_0043,17DRP5sb8fy,multi,5,4,evaluable,4,4,0,4,0,0.7553075631667248,0.8528772465302411,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,17DRP5sb8fy_case_0044,17DRP5sb8fy,multi,5,4,evaluable,5,5,0,5,0,0.3304768164004535,0.5355740141561027,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,17DRP5sb8fy_case_0045,17DRP5sb8fy,multi,5,8,evaluable,28,28,1,14,0,0.6314281696552098,0.7713434785724178,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,r47D5H71a5s_case_0007,r47D5H71a5s,single,1,1,evaluable,5,5,0,6,0,0.13321635965988138,0.8279656588404392,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,r47D5H71a5s_case_0008,r47D5H71a5s,single,1,4,evaluable,116,116,0,29,0,0.7572420847150473,0.8733226387916188,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,r47D5H71a5s_case_0009,r47D5H71a5s,single,1,4,evaluable,111,111,0,29,0,0.5317803822370939,0.8881572705289744,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,r47D5H71a5s_case_0010,r47D5H71a5s,single,1,8,evaluable,86,86,0,24,0,0.5732688716739842,0.8586127483892486,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,r47D5H71a5s_case_0011,r47D5H71a5s,single,1,1,evaluable,8,8,0,9,0,0.6182869819004907,0.9562455320495462,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,r47D5H71a5s_case_0012,r47D5H71a5s,single,1,1,evaluable,29,29,0,29,0,0.48805818314815436,0.9230690076543466,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,r47D5H71a5s_case_0013,r47D5H71a5s,single,1,4,evaluable,57,57,0,29,0,0.453715217668767,0.740322636923087,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,r47D5H71a5s_case_0014,r47D5H71a5s,single,1,4,evaluable,79,79,0,29,0,0.5773894404865935,0.7922978747676985,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,r47D5H71a5s_case_0015,r47D5H71a5s,single,1,8,evaluable,81,81,0,29,0,0.5671527824639094,0.8617956761910587,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,r47D5H71a5s_case_0016,r47D5H71a5s,multi,3,1,evaluable,29,29,0,29,0,0.48299267810320323,0.7302137311143863,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,r47D5H71a5s_case_0017,r47D5H71a5s,multi,3,1,evaluable,4,4,0,5,0,0.27540326604888354,0.6412485889310376,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,r47D5H71a5s_case_0018,r47D5H71a5s,multi,3,4,evaluable,11,11,0,7,0,0.6120367872488588,0.6874099576912184,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,r47D5H71a5s_case_0019,r47D5H71a5s,multi,3,4,evaluable,26,26,0,18,0,0.3871093339168979,0.5875830294462616,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,r47D5H71a5s_case_0020,r47D5H71a5s,multi,3,8,evaluable,44,44,0,12,0,0.5363007005693312,0.7731098607955956,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,r47D5H71a5s_case_0036,r47D5H71a5s,multi,5,1,evaluable,2,2,0,3,0,0.6396416307374897,0.7342509543153348,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,r47D5H71a5s_case_0041,r47D5H71a5s,multi,5,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,r47D5H71a5s_case_0042,r47D5H71a5s,multi,5,1,evaluable,2,2,0,3,0,0.7446585882804106,0.7494388028674818,0,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,r47D5H71a5s_case_0043,r47D5H71a5s,multi,5,4,evaluable,3,3,0,3,0,0.4413420689554863,0.6613704705758002,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,r47D5H71a5s_case_0044,r47D5H71a5s,multi,5,4,evaluable,3,3,0,3,0,0.5528378607577177,0.762649827778203,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,r47D5H71a5s_case_0045,r47D5H71a5s,multi,5,8,evaluable,14,14,0,7,0,0.6208411018080181,0.7034031921855393,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,zsNo4HB9uLZ_case_0001,zsNo4HB9uLZ,single,1,1,evaluable,29,29,0,29,0,0.5669928679685551,0.7786976951795365,0,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,zsNo4HB9uLZ_case_0002,zsNo4HB9uLZ,single,1,1,evaluable,1,1,0,2,0,0.2944514680431749,0.9871004251417583,0,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,zsNo4HB9uLZ_case_0003,zsNo4HB9uLZ,single,1,4,evaluable,58,58,0,29,0,0.5751246647562265,0.8863874615755165,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,zsNo4HB9uLZ_case_0004,zsNo4HB9uLZ,single,1,4,evaluable,72,72,0,29,0,0.5265543338212283,0.8908603740807466,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,zsNo4HB9uLZ_case_0005,zsNo4HB9uLZ,single,1,8,evaluable,58,58,0,18,0,0.5213024829801921,0.883447248720623,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,zsNo4HB9uLZ_case_0006,zsNo4HB9uLZ,single,1,1,evaluable,22,22,0,23,0,0.5476634040585965,0.8029634983655142,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,zsNo4HB9uLZ_case_0008,zsNo4HB9uLZ,single,1,4,evaluable,44,44,0,29,0,0.5308286440357727,0.8056643641941378,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,zsNo4HB9uLZ_case_0009,zsNo4HB9uLZ,single,1,4,evaluable,95,95,0,29,0,0.44579861798674786,0.8656211592423456,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,zsNo4HB9uLZ_case_0010,zsNo4HB9uLZ,single,1,8,evaluable,92,92,0,29,0,0.5036630048862446,0.8063549159809937,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,zsNo4HB9uLZ_case_0011,zsNo4HB9uLZ,single,1,1,evaluable,11,11,0,12,0,0.29656188537715505,0.8847740519389254,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,zsNo4HB9uLZ_case_0012,zsNo4HB9uLZ,single,1,1,evaluable,11,11,0,12,0,0.7755777294922144,0.9578519709439761,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,zsNo4HB9uLZ_case_0013,zsNo4HB9uLZ,single,1,4,evaluable,116,116,0,29,0,0.6541829004287666,0.8521129559904762,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,zsNo4HB9uLZ_case_0014,zsNo4HB9uLZ,single,1,4,evaluable,43,43,0,29,0,0.5198402942385755,0.8150107221863863,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,zsNo4HB9uLZ_case_0015,zsNo4HB9uLZ,single,1,8,evaluable,125,125,0,29,0,0.6804798311437619,0.87703143461008,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,zsNo4HB9uLZ_case_0016,zsNo4HB9uLZ,multi,3,1,evaluable,4,4,0,5,0,0.3578716870478456,0.7293361447438005,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,zsNo4HB9uLZ_case_0017,zsNo4HB9uLZ,multi,3,1,evaluable,3,3,0,4,0,0.8902141728309996,0.9730503787340327,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,zsNo4HB9uLZ_case_0018,zsNo4HB9uLZ,multi,3,4,evaluable,17,17,0,14,0,0.518020232072585,0.6884576589091779,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,zsNo4HB9uLZ_case_0019,zsNo4HB9uLZ,multi,3,4,evaluable,13,13,0,8,0,0.7453965411049922,0.92380124052609,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,zsNo4HB9uLZ_case_0020,zsNo4HB9uLZ,multi,3,8,evaluable,52,52,0,18,0,0.5728567924491733,0.7780882034989733,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,zsNo4HB9uLZ_case_0045,zsNo4HB9uLZ,multi,5,8,evaluable,15,15,0,7,0,0.5952439071514116,0.7083102281017212,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,JF19kD82Mey_case_0003,JF19kD82Mey,single,1,4,evaluable,16,16,0,12,0,0.7491639466730518,0.9009513558145672,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,JF19kD82Mey_case_0004,JF19kD82Mey,single,1,4,evaluable,116,116,0,29,0,0.5787174050916902,0.9409496066683947,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,JF19kD82Mey_case_0006,JF19kD82Mey,single,1,1,evaluable,1,1,0,2,0,0.9768064222737967,0.9989500275633593,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,JF19kD82Mey_case_0007,JF19kD82Mey,single,1,1,evaluable,29,29,0,29,0,0.7083166257559277,0.9288217878294769,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,JF19kD82Mey_case_0016,JF19kD82Mey,multi,3,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,JF19kD82Mey_case_0018,JF19kD82Mey,multi,3,4,evaluable,15,15,0,10,0,0.6649293959627234,0.8700356895425237,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,JF19kD82Mey_case_0020,JF19kD82Mey,multi,3,8,evaluable,24,24,0,9,0,0.6316728326734763,0.8579212575481061,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,JF19kD82Mey_case_0021,JF19kD82Mey,multi,3,1,evaluable,13,13,0,14,0,0.8466931948011485,0.9253627075137294,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,JF19kD82Mey_case_0022,JF19kD82Mey,multi,3,1,evaluable,1,1,0,2,0,0.44197215839171733,0.7709899274011064,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,JF19kD82Mey_case_0023,JF19kD82Mey,multi,3,4,evaluable,7,7,0,7,0,0.6683814288903004,0.8894154203016276,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,JF19kD82Mey_case_0024,JF19kD82Mey,multi,3,4,evaluable,21,21,0,13,0,0.5747187572428268,0.7662468551580718,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,JF19kD82Mey_case_0025,JF19kD82Mey,multi,3,8,evaluable,28,28,0,14,0,0.6250852374580482,0.7978810957795668,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,JF19kD82Mey_case_0026,JF19kD82Mey,multi,3,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,JF19kD82Mey_case_0027,JF19kD82Mey,multi,3,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,JF19kD82Mey_case_0028,JF19kD82Mey,multi,3,4,evaluable,20,20,0,17,0,0.7681472027838534,0.8820923878517466,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,JF19kD82Mey_case_0029,JF19kD82Mey,multi,3,4,evaluable,19,19,0,14,0,0.8158057510097851,0.8826950078543421,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,JF19kD82Mey_case_0030,JF19kD82Mey,multi,3,8,evaluable,22,22,0,13,0,0.6154602482075092,0.8328622668739546,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,JF19kD82Mey_case_0031,JF19kD82Mey,multi,5,1,evaluable,2,2,0,3,0,0.5215382683273285,0.6648747630850911,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,JF19kD82Mey_case_0032,JF19kD82Mey,multi,5,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,JF19kD82Mey_case_0033,JF19kD82Mey,multi,5,4,evaluable,2,2,0,3,0,0.7221256440547419,0.7875962527014011,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,RPmz2sHmrrY_case_0021,RPmz2sHmrrY,multi,3,1,evaluable,1,1,0,2,0,0.5891058842840384,0.7636865565979966,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,RPmz2sHmrrY_case_0022,RPmz2sHmrrY,multi,3,1,evaluable,3,3,0,4,0,0.4797993147837098,0.3900495966219369,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,RPmz2sHmrrY_case_0023,RPmz2sHmrrY,multi,3,4,evaluable,17,17,0,9,0,0.4949863358424519,0.6650545119858983,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,RPmz2sHmrrY_case_0024,RPmz2sHmrrY,multi,3,4,evaluable,9,9,0,5,0,0.6006886530395836,0.7231590365748801,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,RPmz2sHmrrY_case_0025,RPmz2sHmrrY,multi,3,8,evaluable,41,41,0,24,0,0.6291705911112544,0.7752707833085327,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,RPmz2sHmrrY_case_0026,RPmz2sHmrrY,multi,3,1,evaluable,6,6,0,7,0,0.8115372487080252,0.9012080376726304,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,RPmz2sHmrrY_case_0027,RPmz2sHmrrY,multi,3,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,RPmz2sHmrrY_case_0028,RPmz2sHmrrY,multi,3,4,evaluable,36,36,0,24,0,0.660497195756913,0.8289207967316234,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,RPmz2sHmrrY_case_0029,RPmz2sHmrrY,multi,3,4,evaluable,31,31,0,26,0,0.6626070551917028,0.8261777850508706,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,RPmz2sHmrrY_case_0030,RPmz2sHmrrY,multi,3,8,evaluable,48,48,0,29,0,0.6270199147334907,0.7854204656380447,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,RPmz2sHmrrY_case_0031,RPmz2sHmrrY,multi,5,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,RPmz2sHmrrY_case_0032,RPmz2sHmrrY,multi,5,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,RPmz2sHmrrY_case_0033,RPmz2sHmrrY,multi,5,4,evaluable,1,1,0,2,0,0.26780911177421385,0.26823306327222596,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,RPmz2sHmrrY_case_0034,RPmz2sHmrrY,multi,5,4,evaluable,8,8,0,6,0,0.579611276119733,0.7121715062136162,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,RPmz2sHmrrY_case_0035,RPmz2sHmrrY,multi,5,8,evaluable,22,22,0,13,0,0.6020023038559787,0.7367747808583782,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,RPmz2sHmrrY_case_0036,RPmz2sHmrrY,multi,5,1,evaluable,13,13,0,14,0,0.5765002959607392,0.7291933327522296,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,RPmz2sHmrrY_case_0037,RPmz2sHmrrY,multi,5,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,RPmz2sHmrrY_case_0038,RPmz2sHmrrY,multi,5,4,evaluable,12,12,0,6,0,0.5980234192225048,0.7465661426055595,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,RPmz2sHmrrY_case_0039,RPmz2sHmrrY,multi,5,4,evaluable,9,9,0,5,0,0.5436759052483969,0.5769206200328614,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,RPmz2sHmrrY_case_0040,RPmz2sHmrrY,multi,5,8,evaluable,40,40,0,16,0,0.6442612569262868,0.8449235676970407,1,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,17DRP5sb8fy_case_0001,17DRP5sb8fy,single,1,1,evaluable,9,9,0,10,0,0.37983356074535624,0.8504078094302309,0,not_estimable_no_ungrounded_predictions,0
Qwen-Instant,17DRP5sb8fy_case_0002,17DRP5sb8fy,single,1,1,evaluable,29,29,0,29,0,0.3179785600365498,0.6223581721144524,1,not_estimable_no_ungrounded_predictions,0
